,Confidence,text
0,0.8439,Grilling kabobs on the grill last night was amazing! I'm so glad this weather is finally  here.
1,0.6963,The slowest day ever !! And the weather makes it even worse !
2,0.8802,Fire Weather Watch issued May 17 at 4:21PM CDT expiring May 19 at 9:00PM CDT by NWS Lubbock... {link}
3,0.6897,Im going to lunch early today.   The weather is nice outside so Im going to enjoy #metime somewhere pleasant :)
4,0.6153,Weekend Weather Causes Delays In I-270 Bridge Work  {link}
5,0.6365,Passing out now.  working tonight. Storms today would be nice. Would be great sleeping weather. Mmmm
6,0.5582,US GAS: Warm-Weather Forecasts Lift Natural Gas Futures {link}
7,0.4132,@mention s friday at 6 at tha stadium ...if tha weather bad its gone be in tha gym at 3
8,0.7987,I hate this weather. Good day for a movie marathon though... Xmen! :D
9,0.5695,TGif biatches! Here's to a sunny Friday regardless of rain and drama! #popularnameregardlessofparticipation
10,0.9103,"@mention good crowd in Wrigley today, terrible weather. tell that redneck that just called in 2 check the Reds crowd on a Wed. day game"
11,0.5048,"RT @mention: ""The storm is only that which authenticates your path"" -- @mention"
12,0.6108,in the house washing clothes on this rainy day #BORED
13,0.8655,#WEATHER:  2:53 pm : 57.0F. Feels 56F. 30.10% Humidity. 6.9MPH Northwest Wind.
14,0.6533,Freezing cold Like always whoo buddy excited for tonight let's go #11in11
15,0.7387,...SHOWERS AND THUNDERSTORMS MOVING SLOWLY OVER THE AREA... AN AREA OF RAIN WITH EMBEDDED THUNDERSTORMS WILL DRIFT SLOW {link}
16,0.9293,It is hot out here but it feels great
17,0.7333,"@mention the software queries say two-three ""link degrees"" of the articles. (ie James Burke has the link Science Historian which has...)"
18,0.4299,RT @mention: Need that warm weather to come back
19,0.5476,"I want the sunshine back, please come back :)"
20,0.6564,I can't find a way to delete my iWitness Weather account but at least I've deleted ALL my photos on the site. (1 of which had 3K + views)
21,0.8497,Record LOW humidity in Phoenix today:  {link}
22,0.5621,"@mention If this is what Seattle is like, I'm not surprised somebody killed Rosie Larsen. Everybody must be surly. #TheKilling #Rain"
23,0.6511,@mention ditto I should have worn shorts today! Hello humidity!
24,0.7563,@mention oh nice! We're all the way here in sunny Burbank California!
25,0.4395,"@mention no, normal pajamas. it's not that cold out!"
26,0.6925,@mention Is any part of this storm system going to make it across the mountains/in to NC & SC?
27,0.841,@mention cherry slush
28,0.53,it's hot  as #Truck outside
29,0.6946,WZTV FOX17 :: Weather {link}
30,0.6876,"RT @mention: Tim Minchin Storm' rant animated using Adobe After Effects, Flash, Photoshop & a Wacom Cintiq - {link}"
31,0.7159,"Hi from sunny Boston. Weather is fine, wish you were here... (@ Joe's American Bar & Grill w/ 2 others) {link}"
32,0.6355,"I can't wait until tomorrow night so that when I'm still alive, I'll tweet up a storm, ""world ends on Saturday"" my ass"
33,0.4882,"In Florida, the hotter it is outside, the colder it is inside. Freezing at my desk today."
34,0.5628,@mention Bonjour Snow Patrol are great but getting samey. Try this! What do u think?  {link}
35,0.5242,"""Oh rainy day, come 'round. Sometimes I just want it to slow down."" #coldplay"
36,0.4,"@mention yeah, i'm talking, you see these pics of the river up on the rocks, as opposed to storm conditions"
37,0.5658,@mention Looking forward to your show tonight in Salt Lake City. The weather is supposed to be great. Hopefully you'll toss me a pick
38,0.4937,Just arrived at Garrett- 55 degrees- going to be a cool night.
39,0.8468,RT @mention: Strongest storm now crossing Natcher Parkway south of Masonville & moving into northern Ohio County. #tristatewx
40,0.8027,@mention We can finally compete with your weather in FL! Sunny & 70 here in Chicago today!
41,0.4114,"I'm gonna take a bath and read. I planned to make pasta puttanesca for dinner, but the weather is making me want Chipotle Chicken Chowder."
42,0.5682,For details about 2 Person Hot Tubs check out his latest web site about Hot Tub Chemicals. Posted in Spa and Med... {link}
43,0.8541,"Thunderstorm Light Drizzle in Vicinity and 68 F at Jacksonville Municipal Airport, IL Winds are from the South at 13.8  {link}"
44,1.0,".@mention & I just finished an hour jog on the Bosque. A little windy, but otherwise a beautiful day. It's about time! C'mon SUMMER!"
45,0.7946,eww its 81% humidity  today :I
46,0.4306,"Nothing says ""Happy Cinco de Mayo!"" like an AP test and a rainy day. #fail"
47,0.5743,@mention storm? Be safe! The weather has been crazy lately!
48,0.8265,"Its super awful here in OK, the weather is soo moody."
49,0.5082,If you got on walmart snow boots in yo twitcon #sityoassdown. You are not badd.
50,0.8290000000000001,Severe Thunderstorm Warning issued May 19 at 3:40PM MDT expiring May 19 at 4:30PM MDT by NWS Boulder {link}.... {link}
51,0.6462,Catch The Fish Folks tomorrow at the Weds Downtown Farmers' Market 4-7.  Weather will be great - Copper River Sockeye salmon at great...
52,0.6608,"Tornado season really is nvr over. If its a severe thunderstorm, a tornado can form RT @mention How long is (cont) {link}"
53,0.6328,@mention @mention @mention it's just something to do and really storm? You don't know what a wet dream?
54,0.7959999999999999,It's fuckin hot out
55,0.5461,"After being told no pink for decades USDA now says cooked pork can be pink, @ 145 degrees not 160. Next will they admit alien UFO's are real"
56,0.4097,Sunshine parks and new hair scarves make life not so bad when @mention stays up all night.
57,0.5626,#Today's #Cubs-#Giants game has been postponed due to the forecast for inclement weather & poor conditions throughout the day.
58,0.7497,"RT @mention: Severe Thunderstorm Warning for Dakota, Goodhue, Rice and Steele County in MN until 2:30pm. More: {link} & o ..."
59,0.8244,#WEATHER:  3:53 am : 57.0F. Feels 55F. 29.98% Humidity. 10.4MPH North Wind.
60,0.7973,"Clouds & Showers East, Sunny & Dry Elsewhere {link}"
61,0.7906,RT @mention: This kind of weather makes me want to go swimming.
62,0.4416,Blog Post: The Weather Man is Killling Golf! - {link}
63,0.8484,Mmmmmm warm sunny afternoon on a patio! (@ The Tavern Tech Center) {link}
64,0.8734,it's a nice day in LA. sunny :)
65,0.5959,Rainy Summer featured my #vintage shoes {link} via @mention
66,0.6603,"@mention delicious! Lol I have been waiting for this 70 degrees for oh...8 months! No joke. I've been out being a real ""dirty girl"" lol"
67,0.6748,It's 66 fucking degrees muthafucker it's hot... Time to get half naked :)
68,0.5436,It honestly sounds more like Florida weather RT @mention: @mention never been to Texas to compare. P.S. its sunny again lol
69,0.5285,@mention Hint: It's windy. Nowhere super fun just yet...
70,0.406,This cold weather got me ready to lay up wit someone else's girlfriend.. #DontJudgeMe
71,0.4842,@mention At least it ain't snow!
72,0.753,I favorited a @mention video {link} Keep On The Sunny Side - June Carter Cash
73,0.8972,Sunshine!
74,0.4391,@mention Hi Monali! Nice to meet you! I'm SUPER jealous of your profile picture..sure beats the rainy weather in DC!
75,0.4704,What's with all the rainy weber?
76,0.4351,Thinking the cloudy super cool weather is making me xtra sleepy 2day
77,0.7272,LIVE COVERAGE: Weather delays Amgen start until 1:15 pm {link}
78,0.619,I am freezing! I wanna cuddle (:
79,0.6336,"""@mention: @mention awwww sounds sad lol its always hot there so yaw need a break anyway""--that's not fair, I want nice weather lol"
80,0.9028,"Thunderstorms today, high 69 (21 C)."
81,0.6749,Eat yourheart out too!i'm @ the vacation house.Nice weather&beautiful sight.Nothing like this in SG. ;p @mention  {link}
82,0.5529,Probably Bad News: Anything For a Blizzard: Probably Bad News: Anything For a Blizzard Submitted by: Unknown Epi... {link}
83,0.741,@mention TC: loved the new Fresh Air (#16). Currently flying to warmer weather and the chilled out beats were perfect. Keep it up!
84,0.7257,"RT @mention: WINTER STORM WARNINGS for CO and MT for SNOW 6 - 12 inches
{link}
#weather #news #snomg #blizzard #wx"
85,0.9598,I love the weather in PHX right now!!
86,0.7194,This weather keeps me under the covers.
87,0.5813,@mention paid work is all good :0) Hopefully we'll have lots of sunshine for you to enjoy too xx
88,0.5751,"@mention There might be some snow up in the mountains, buh I live in the city so no snow here :)"
89,0.3222,"@mention It cld be 4 degrees and yu wld have me outside in shorts, lol... #JustCrazy!"
90,0.7261,Mad windy for no reason
91,0.8547,Spending the afternoon downtown with the family walking around the Canal and enjoying the beautiful weather #nomorerain
92,0.7225,It is literally pissing it down in sideways rain. I have nothing to protect me from this monstrous weather.
93,0.612,"@mention I gotta say, you are so stunning. I've been working out for the last few months and im trying to get my hot body too xoxo"
94,0.2967,In the Heart of the Summer we Need a Snow Plow !
95,0.6692,6 degrees of separation
96,0.4298,@mention lol at Gary saying it to Storm. Hope the subtitles work for Celebrity Juice at 11pm....
97,0.6649,@mention I love thunderstorms too but I couldn't stay in bed all day and enjoy it
98,0.743,It's cold as hell outside and they in the pool kickin it o_O
99,0.6278,"Check it out!! RT @mention: I posted 46 photos on Facebook in the album ""Storm Damage"" {link}"
100,0.4842,Um I would like a powerade slush. Thank you. RT @mention: finna be on this #HappyHour flow at Sonic #yesyes
101,0.8943,Horrible wet morning.....bring back the sunshine!
102,0.4702,Da thangs I wud do to sunny anderson #sheesh
103,0.4816,@mention rrrrriiight who yu tellin idk weather to be mad or cry -__-
104,0.3735,"If you're in need of any huge logs or branches, there are plenty floating in the Yellowstone River right now. #rain #flooding #Billings"
105,0.8713,"News - Current Conditions : 64.4F, Heavy Thunderstorms and Rain - 7:07 PM EDT May. 16: Temperat... {link} #News #Greensboro"
106,0.6108,RT @mention: Looks like t-storm with 60+ mph winds within 30 minutes of downtown #joplin
107,0.3445,"BTW, SkyWarn training last night rocked!  I'm certified!  :0)  Let the storm spotting begin!"
108,0.436,Palm Beach County Commission cites Sunshine Law concerns for dumping committee of local leaders.{link}
109,0.9573,#WEATHER:  6:52 am : 63.0F. Feels F. 29.65% Humidity. 0.0MPH North Wind.
110,0.8591,#WEATHER: 2:55 pm E: 75.0F. Feels F. 29.96% Humidity. 3.5MPH Northwest Wind.
111,0.8276,FINALLY! The temp outside is over 70.
112,0.3714,RT @mention: Congrats OKC is trending. What should be trending is #WatchoutMavs there's about to be a Thunderstorm in Dallas!
113,0.4746,RT @mention: Freezing! O.o WeLoveSwift
114,0.5077,"Monday mornings, sunshine and planning ahead: Do you plan for the week ahead on Monday morning o... {link} (Via @mention)"
115,0.3228,"@mention i'm not laughing at you storm and i don't think it's ignorance, just innocence"
116,0.7135,Out walking enjoying the sunshine...NOT!
117,0.5437,"@mention Hi Five! I love Snow Patrol, so this is right up my street. I have it on repeat! {link}"
118,0.4887,-_- To them doin these twitter bio's for the people gettin they doctorate degrees. Im tryna leave today sir
119,0.3852,"Even when the rain falls, even when the flood stops rising, even when the storm comes, I am washed by the water."
120,0.493,RT @mention: I think those American nutters must have misinterpreted a bad weather forecast #rapture
121,0.6136,@mention Keek! I love a bit of Snow Patrol! Have this band on now tho.  It's been on repeat since I heard it.  {link}
122,0.5092,Memphis weather is so bipolar!!!
123,0.8389,@mention you are welcome! doing great-except sooo tired of this weather! how about you!?
124,0.7726,so sunny and beautiful in Tulsa right now. I decided to spend sometime outside the office and work on my tan.   :)
125,0.4389,Morning sunshine.
126,0.3256,RT @mention: It'll be sunny again by time you land RT @mention: Every time I think about going back to Portland it starts ra ...
127,0.371,it's 80 degrees for what?
128,0.3604,@mention why didn't Brian say anythng on the weather segment?
129,0.5755,Now Playing on BaltimoreNetRadio: EDDIE RABBIT - I Love A Rainy Night
130,0.465,"Lance Berkman with a snow cone diving catch, yeah it happened"
131,0.3077,"RT @mention: According to the weather on @mention 's phone, every day is going to be a muffin.  {link}"
132,0.4478,RT @mention: Miami weather is just like Charlie Sheen.. Bi-polar!
133,0.4072,"Poured a cup of hot sepia coffee in a wisteria flowered mug, dandelion sunshine spilling through the periwinkle sky."
134,0.8231,Freezing my butt off. (@ Long Sands Beach) {link}
135,0.8162,Wonderfully sunny day at Edmond's Art festival  #thelandofperfect
136,0.9636,Waking up to beautiful weather- what a great day it will be!
137,0.8842,"Helloooo, Sunshine!"
138,0.664,My room is freezing :/ or im jus too cold :S
139,0.6474,"@mention yeah at times it's so hard to tell who's in the lifestyle, but then when you find out it's like duh should have known. she hot?"
140,0.7155,Heavy Dust Storm Blankets Parts Of Chandler: A good sized dust storm blew through the east valley blanketing par... {link}
141,0.9302,#WEATHER:  1:53 am : 61.0F. Feels 58F. 29.75% Humidity. 18.4MPH West Wind.
142,0.473,#C4IforHumanity: Extreme Weather - North-America - USA {link}
143,0.442,Bear River's Quest for a 4-Peat Begins Saturday {link} - #snow #utah
144,0.4098,@mention I am too haha it's kinda hot out though
145,0.5413,"If a storm picks up, lean into the wind instead of turning away from it if you want to keep balance"
146,0.626,Stay safe all! RT @mention: New event. Severe Thunderstorm Watch from to 11:00 PM EDT for @mention {link}
147,0.7447,pretty much addicted to Storm Warning right now...amazing song :)
148,0.5182,"@mention just cause there's a #shitstorm at Colby, you make my sunshine! Love you"
149,0.3049,Love my new jewelry books from Powell's. Much needed inspiration on a rainy Monday.
150,0.831,Had a great weekend thanks to the sunny weather. Now I have to sit inside for 8 hours at work. Boo!
151,0.3844,Jeff Will Miss Oprah & Gives Her A Shout Out The Only Way A Weatherman  Could!!! 7day Forecast. #Oprah | {link} via @mention
152,0.6827,@mention hahaha...tell Slush we are gonna win it next year!
153,0.7994,In the 'BU (Malibu) showing leases. The weather is perfect! Click 4 pic&gt; {link}
154,0.4601,"@mention haha ASU has an amazing honors program, that's the only reason I want to go there. And i can't stand snow Dx"
155,0.5672,Free Blizzard!! {link}
156,0.4378,"Just a heads up to everyone, weather is crazy everywhere, not just where u live. I thought I needed to clear that up."
157,0.8540000000000001,"Weather data at 06:30 AM. 42.5&#xB0;F, 92&#x25; humidity. Wind: 0.0 mph from the N. Rain: 0.00 in. NO CURRENT ADVISORIES"
158,0.6768,Im not complaining but it's FREEZING in my room!
159,0.9155,hot weather puts me in a bad mood .
160,0.4151,hope this night is rainy night ^^
161,0.5046,Northern IN likely to go under a weather watch per SPC soon...details to come.
162,0.7417,@mention How about Metal Storm & Wasp Knife for MW3??? {link} {link} #AwesomeWeapons #MW3
163,0.6974,@mention unfortunately the same here (Sunny skies).  really need some rain.Too much sun can be as depressing as too much rain. #pubwrite
164,0.3367,"RT @mention: Don't try to stop the storm,just wait with patience and faith until the storm pass away and the rainbow come to bright your  ..."
165,0.7462,I'm freezing on this stupid bus
166,0.3686,@mention unfortunately this wife doesn't come with a log of firewood for those chilly nights.
167,0.6447,"@mention I'm not related to him, but I know him from storm spotting for my county."
168,0.9335,"RT @mention: Tatum, NM @ 8:00 PM: Temp:75F(H 84/L 45), Hum:30&#x25;, DewPt:42F, Wind: SE at 17 G 27.0 mph, Rain:0.00 In. #weather"
169,0.823,"RT @mention: Cinderella, Snow White, and Sleeping Beauty are all gonna be pretty ticked when they find out they all married Prin ..."
170,0.721,Freezing. Cuddling...alone :(
171,0.7753,#WEATHER: 4:53 pm C: 84.0F. Feels F. 29.87% Humidity. 9.2MPH South Wind.
172,0.8203,Omg storm and hail please go away so I can catch my flight home!! #ihatestorms
173,0.7667,Militants storm Pakistani naval base in Karachi \n    (AP)\n: AP - Islamist militants stormed a naval base in t... {link}
174,0.7255,watching 180 degrees south again. I can't get enough of this movie.
175,0.4896,"RT @mention: Hot day in Moab today, went to Arches National Park but wife and kids petered out after a 2mi hike. Definitely have to come  ..."
176,0.7818,Slush explosion date with steph #bonding
177,0.6697,"Severe Storm Damage In Southeast Wisconsin: At the height of Sunday's severe storms, thousands lost power in... {link}"
178,0.6806,#NMFire #NMwx Fire Weather Watch issued May 21 at 1:28PM MDT expiring May 23 at 9:00PM MDT by NWS Albuquerque... {link}
179,0.7236,I hate this bi-polar weather in san Antonio
180,0.4462,"@mention shhhh, just cum to the philippines where it's sunny and shitty everyday"
181,0.2869,@mention Here's hoping. :)  How's the weather there?  Did any of those toofans hit you a couple weeks back?
182,0.8527,"Severe Thunderstorm Warning for Choctaw, Montgomery, and Webster County in MS until 7:45pm. {link} #mswx"
183,0.4024,Polo boots in 80 degree weather #fail
184,0.4361,the weather didnt scare me away from the stores tonight!
185,0.73,"Dear #sanfrancisco, this weather blows. Rain? In may? Um no thank you. Please, get it together. Thanks"
186,0.6145,RT @mention: Damn this thunder storm kame out of No where
187,0.8701,@mention it won't last too long...the storm that is.. :) nice & sunny in my neck of the woods..
188,0.7139,Is Hot As Hell Outside Today In Da City Of #Decatur
189,0.4315,@mention you will be missed. Hope weather is ok
190,0.4788,Just in! Joe's Provacateur petite bootcut in the Hannah wash. Perfect for warmer weather! {link}
191,0.4811,"For storm and flood water repair, call NextGen Restoration experts. {link}"
192,0.4074,I woke up to a beautiful ball of red coming over the horizon...oh where art thou ball of sunshine so enjoy having your around
193,0.6721,Follow @mention @mention @mention #Glee #Herecomestheboom #sunshine @mention!!
194,0.5127,@mention It's sunny here too. And it's closer! :D
195,0.36700000000000005,RT @mention: You know the old saying: April showers bring May severe thunderstorms.
196,0.8039,RT @mention: The 3rd world war hasn't even happened yet... and the crazy weather is from Earth changing and possibly from H.A.A.R. ...
197,0.5055,@mention LISTEN TO ON RAINY DAYS
198,0.7985,"Grateful for the sunny, warm weather. Perfect stroll on the beach with @mention. Photo: {link} #cannonbeach #getaway"
199,0.7599,Gov. Bentley: 238 storm related fatalities in Alabama {link}
200,0.4339,"@mention They're cheeping up a storm, and he has that ""Where is your mother?!"" look.  LOL"
201,0.5431,I been freezing but didn't wana get up to fool with the air #lazytweet
202,0.6696,"B MY Sunshine - Nonprofit; To improve the environment of Special Needs Individuals, through there senses: touch, hear, smell and sight!!!"
203,0.4252,"Ok so its like 78 degrees, he has on some timbos, shorts with an full length leather coat.. Wow, #damshame."
204,0.3502,"""MARY WHITE"" always be fogged out even wen its a bright sunny day"
205,0.7451,RT @mention: RT @mention: U.S. National Severe Weather Alerts Map - WeatherBug.com {link}
206,0.6899,Nature's Sunshine Products Reports First Quarter Financial Results {link}
207,0.8872,The gas and this weather need to get off that bull shit lol
208,0.687,7:30 final and its like 95 degrees. I can't take the biggest exam of the year under these conditions. #stupidhot
209,0.5263,@mention Yeah I was sick recently too. It's probably the weather or something.
210,0.5686,VIDEO: Hay fever surges in UK heatwave {link}
211,0.457,We have been Busy collecting Wal Mart Gift Cards Via Pay Pal to Give to Tornado and Storm Victims to Present to... {link}
212,0.4224,watching enter the dragon on this rainy rainy night then off to sleep
213,0.4621,"Could really go for some chocolate, a blanket, some music, and a big bay window right now. #rain"
214,0.6958,"Turned on TV here at the hotel, immediately see meteorologists watching #Wx around Kansas. Glad it was nice weather when I landed here."
215,0.9282,"Friday, sunny and awesome out in Chicago. Happy weekend, Superfans!"
216,0.5597,"""LIKE"" our brand new Northwest Weather Podcast page!  Mark and Brian are recording their 4th episode today.  You... {link}"
217,0.8258,"RT @mention: Weather spotters report #tornado moving toward Joplin, Missouri, at 45 mph {link}"
218,0.9263,I actually like the #rain... Only because my umbrella is too cool... #zebraprint!
219,0.7703,So its freezing as shit this morning and my brothers mew roommate left open the windows. smooth.
220,0.7409,"Gardner WX 05/17/11 07:00 AM | 44F, 65&#x25; Humidity, Feels Like 44F | Alerts: NO CURRENT ADVISORIES | {link}"
221,0.7375,"Listening to KFOR-TV via Weather Channel -- they are reporting tornado is 1/2 mile wide, debris 1.5 miles around tornado"
222,0.486,Watch KNWA now. Dan Skoff & Clint Boone are tracking severe weather in Benton County. Possible tornadoes may be brewing
223,0.5143,RT @mention: they just interrupted the emergency weather program with another emergency weather warning. TAKING OUR ASSES TO THE BATH ...
224,0.7785,Why has the weather sucked so bad lately? A hurricane isn't gonna stop me from getting my swag on.
225,0.6701,Love this Iowa weather that goes from warm and sunny to rainy and lightening in less than 2 seconds:):):)
226,0.4114,It WAS going to be sunny and 80 degrees in #Boston today (that's what they said just a few days ago.) How's  58 and rain? #enoughisenough
227,0.7439,78.1F (Feels: 78.1F) - Humidity: 87% - Wind: 9.2mph NE - Gust: 13.0mph - Pressure: 1008.7mb (+0.5)  #weather {link}
228,0.7221,"Happy Mothers Day, enjoy the sunshine, now... looking forward to Fathers Day."
229,0.4686,Headed to Maker Faire this weekend.  Weather's supposed to be nice: partly cloudy with a small chance of DOOOOOM.
230,0.8857,Imma chef and imma cook up a storm in the morning
231,0.8179,Looks like rain. For ever. #weather {link}
232,0.5936,@mention fine bout to go this interview. How's the weather there???
233,0.6731,Just seen this toyota commercial and im thinking why would a truck have to go thru almost 300 degrees?
234,0.6146,"RT @mention: Just turned 26 today, no kids, 2 degrees, grad school, good health, GOD IS REAL"
235,0.6998,"Needless to say, it is scorching out. I am still hot and I have been back inside for quite some time now."
236,0.6828,"Oh, and I've been informed that I am Belle. Well, I am also, at times, Snow White."
237,0.7029,@mention cant believe about the weather either! But I'll take it :)
238,0.7732,"Tuesday's Hourly Wx for St. Mary's County:
* 7AM: Rain. 62*F.
* 12PM: Rain. 68*F.
* 3PM: Thunderstorms. 71*F."
239,0.7338,Gosh the scanner is active this morning. Is everyone misbehaving because the sunny weather went away?
240,0.8526,Severe Thunderstorm Warning for Camden and Miller County until 2:00pm. #MidMoWx
241,0.7724,What Produces Pippa's Perfect Posterior? Find out the Secret! Plus: New Pics Of Pippa Looking Hot In Tight Jeans: {link}
242,0.4197,"HUGE thunderstorm this morning! Rain..lots of it..(FINALLY) thunder, lightning.. the works.. Texas knows how to have a storm!"
243,0.5569,I just realized that I am probly the only person dumb enough to be Tweeting @mention IMDB info while stuck outside in a hail storm Lol
244,0.7195,"RT @mention: Learn more about CMC's new bachelor's degrees tonight in Edwards: 5:30-7pm! Sign up, learn more at {link} ..."
245,0.7918,@mention I agree! Beautiful view. Mine was just walking through Cap Hill but the sunshine made it a nice walk home. Hope it stays.
246,0.8243,I also need to know why it's 65 degrees out right now. Stooooopppp.
247,0.5645,"I'm at Turnpike S (Florida's Turnpike, Sunshine Parkway) {link}"
248,0.7955,Need some warm Cappuccino on this ugly rainy day. (@ 7-Eleven) {link}
